run,tag,step,value
tcn_100_16_0.001_20230606_023539,Learning Rate,99,9.999999747378752e-06
tcn_100_16_0.001_20230606_023539,training/esr,55,1.400189995765686
tcn_100_16_0.001_20230606_023539,training/esr,111,1.4108110666275024
tcn_100_16_0.001_20230606_023539,training/esr,167,1.4082072973251343
tcn_100_16_0.001_20230606_023539,training/esr,223,1.4095840454101562
tcn_100_16_0.001_20230606_023539,training/esr,279,1.3054847717285156
tcn_100_16_0.001_20230606_023539,training/esr,335,1.3870439529418945
tcn_100_16_0.001_20230606_023539,training/esr,391,1.3826842308044434
tcn_100_16_0.001_20230606_023539,training/esr,447,1.4357891082763672
tcn_100_16_0.001_20230606_023539,training/esr,503,1.4739367961883545
tcn_100_16_0.001_20230606_023539,training/esr,559,1.4786828756332397
tcn_100_16_0.001_20230606_023539,training/esr,615,1.4508298635482788
tcn_100_16_0.001_20230606_023539,training/esr,671,1.4489179849624634
tcn_100_16_0.001_20230606_023539,training/esr,727,1.4339772462844849
tcn_100_16_0.001_20230606_023539,training/esr,783,1.4680469036102295
tcn_100_16_0.001_20230606_023539,training/esr,839,1.5377166271209717
tcn_100_16_0.001_20230606_023539,training/esr,895,1.4832996129989624
tcn_100_16_0.001_20230606_023539,training/esr,951,1.4810974597930908
tcn_100_16_0.001_20230606_023539,training/esr,1007,1.4396778345108032
tcn_100_16_0.001_20230606_023539,training/esr,1063,1.4317858219146729
tcn_100_16_0.001_20230606_023539,training/esr,1119,1.4336165189743042
tcn_100_16_0.001_20230606_023539,training/esr,1175,1.4376760721206665
tcn_100_16_0.001_20230606_023539,training/esr,1231,1.4151760339736938
tcn_100_16_0.001_20230606_023539,training/esr,1287,1.4292038679122925
tcn_100_16_0.001_20230606_023539,training/esr,1343,1.4446725845336914
tcn_100_16_0.001_20230606_023539,training/esr,1399,1.4280736446380615
tcn_100_16_0.001_20230606_023539,training/esr,1455,1.4275248050689697
tcn_100_16_0.001_20230606_023539,training/esr,1511,1.4532359838485718
tcn_100_16_0.001_20230606_023539,training/esr,1567,1.4512648582458496
